ALL WORDS:  
Word;Occurences;Themes
able;1115;
about;51978;
above;5879;
across;4475;
actin;1622;
acting;2076;
action;1542;
addicted;1196;
admit;1573;
adore;1116;
afraid;6620;
after;11584;
again;40507;
against;4209;
ahead;3984;
aint;7076;
akon;1452;
album;1376;
alive;10732;
almost;3397;
alone;24758;
along;7876;
already;6427;
alright;14119;
although;1091;
always;34700;
amazing;1882;
america;1776;
american;1737;
angel;5045;
angels;2775;
angry;1007;
animal;1551;
another;23849;
answer;3558;
answers;1342;
anybody;3427;
anymore;7401;
anyone;4139;
anything;11020;
anytime;1316;
anyway;3561;
anywhere;2690;
apart;6818;
apple;1007;
aren;1154;
arms;7712;
around;42234;
ashes;1032;
asked;2503;
asking;2421;
asleep;1806;
attack;1489;
attention;2266;
attitude;1140;
awake;2671;
away;59255;
babe;8563;
baby;113638;
back;86199;
bags;1324;
ball;4287;
ballin;1556;
band;2398;
bang;6689;
bank;1691;
barely;1296;
bars;1165;
bass;2325;
battle;1903;
beach;1790;
bear;1300;
beast;1361;
beat;14590;
beating;2069;
beats;2254;
beautiful;10643;
beauty;2396;
because;14476;
become;3515;
bedroom;1060;
beef;1401;
been;57359;
beer;1009;
before;26236;
began;1224;
begging;1428;
begin;2816;
beginning;1717;
begins;1260;
begun;1638;
behind;10564;
bein;1066;
being;7002;
believe;26232;
believed;1131;
believing;1111;
bell;1414;
bells;1795;
belong;4356;
below;1779;
bend;1857;
beneath;1831;
benz;1310;
beside;2350;
best;16677;
better;34899;
between;6488;
beyond;2334;
bigger;2562;
bill;1430;
bills;1114;
bird;2947;
birds;1879;
birthday;1627;
bitch;24625;
bitches;9038;
bite;2033;
bitter;1378;
black;14680;
blah;1158;
blame;5454;
blast;1375;
bleed;2479;
bleeding;1452;
bless;1265;
blessed;1177;
blew;1229;
blind;5216;
block;4489;
blood;8183;
bloody;1023;
blow;8343;
blowin;1406;
blowing;1786;
blown;1020;
blows;1268;
blue;10845;
blues;2886;
boat;1456;
bodies;1262;
body;19042;
bomb;2410;
bone;2241;
bones;2595;
boogie;1162;
book;2065;
boom;5835;
boots;1119;
booty;2722;
born;7261;
boss;2634;
both;6824;
bother;1157;
bottle;3090;
bottles;2084;
bottom;2765;
bought;2715;
bounce;3115;
bound;1789;
bout;15556;
boyfriend;1385;
boys;9777;
brain;4091;
brand;3377;
brave;1354;
bread;1710;
break;21246;
breakin;1262;
breaking;4678;
breaks;1749;
breath;5978;
breathe;6748;
breathing;2221;
breeze;1408;
brick;1156;
bridge;4665;
bright;5121;
brighter;1110;
bring;16704;
bringing;1299;
brings;1799;
broke;5614;
broken;9243;
brother;4037;
brothers;1475;
brought;2510;
brown;3164;
buck;1432;
build;2486;
building;1743;
built;1892;
bullet;1730;
bullets;1048;
bullshit;1532;
bump;1939;
buried;1145;
burn;8754;
burned;1610;
burnin;1255;
burning;5799;
burns;1494;
bury;1294;
business;2973;
bust;3048;
busy;1666;
cake;2442;
california;1795;
call;28672;
called;4542;
callin;1958;
calling;6318;
calls;1813;
calm;1649;
came;14888;
camera;1141;
candy;1976;
cannot;4217;
cant;3773;
card;1135;
cards;1206;
care;17305;
careful;1186;
cares;1821;
carry;4800;
cars;2860;
case;2725;
cash;4272;
cast;1087;
catch;7546;
caught;6354;
cause;90615;
ceiling;1254;
celebrate;1494;
cell;1032;
cent;1920;
certain;1119;
chain;3187;
chains;2407;
champagne;1463;
chance;9711;
chances;1172;
change;19327;
changed;4149;
changes;1655;
changing;2049;
chase;2284;
chasing;1980;
cheap;1458;
check;6463;
cheese;1002;
cherry;1297;
chest;2529;
chick;2933;
chicks;1286;
child;5978;
children;4074;
chill;1875;
choice;1868;
choose;3170;
chorus;44269;
chose;1029;
chris;1715;
christ;1217;
christmas;6623;
church;1386;
circle;1285;
circles;1117;
city;11186;
claim;1054;
clap;2677;
class;1910;
clean;3373;
clear;5286;
click;1672;
climb;1907;
clock;2847;
