Word;Occurences;Themes
that;366341;
your;306637;
like;216523;
know;210534;
love;199948;happiness serenity hope love
with;181516;
just;178668;
what;178660;
this;176311;
when;155955;
they;122081;
down;116168;sadness pain
yeah;114642;
baby;113638;happiness serenity hope
time;102508;serenity
there;102161;
never;100737;
want;95914;
cause;90615;
make;90106;
come;89044;
back;86199;
wanna;84777;
take;82813;
have;81810;
from;80266;
will;78494;
girl;72342;
gonna;70327;
feel;69965;
here;69166;
right;68545;
need;66655;
life;65333;
tell;62120;
away;59255;
been;57359;
could;56719;
more;55144;
give;54221;
where;54077;
night;53967;
heart;53548;happiness serenity hope love
about;51978;
think;50144;
keep;49880;
world;49610;
good;48173;happiness
only;47201;
some;46873;
then;46870;
chorus;44269;
through;42924;
them;42748;
look;42663;
around;42234;
over;42204;
still;41977;
little;41825;
said;41790;
again;40507;
gotta;39535;
every;38497;
well;36857;
eyes;36543;
mind;36528;
would;36412;
nigga;35600;
nothing;35186;
ever;34914;
better;34899;happiness
always;34700;serenity
long;34385;
home;33407;heaven
find;33360;
shit;32846;pain
tonight;31719;serenity
these;31552;
stop;31109;confidence
everything;30799;confidence
hold;30559;
really;30408;
were;30378;
things;30312;
money;29574;confidence
something;29355;confusion
turn;29176;
gone;28688;
call;28672;
fuck;28505;pain anger
even;28429;
than;27867;
show;27829;
hear;27723;
leave;27538;pain
thing;27478;
into;27270;
live;27199;
head;27019;
much;26898;
stay;26342;pain
before;26236;
believe;26232;
hard;26156;sadness pain
going;25868;
alone;24758;
bitch;24625;sadness pain
light;24445;hope serenity
real;24301;
face;24165;
another;23849;
made;23706;
should;23221;
inside;22884;
people;22192;
fall;21963;
left;21739;sadness pain
play;21651;
last;21615;
same;21421;
break;21246;
high;20935;
please;20517;love
without;20365;
everybody;19891;confidence
niggas;19757;
wrong;19668;sadness pain
feeling;19655;
dance;19590;happiness passion
name;19563;
place;19414;
rock;19360;passion
change;19327;
hands;19232;
body;19042;passion
mine;18988;
walk;18946;
free;18469;happiness serenity hope
lost;18216;confusion
done;18126;
talk;18111;
enough;17999;sadness pain
crazy;17656;passion
hand;17486;
looking;17336;
care;17305;
thought;17273;
myself;17218;confidence
coming;17131;
fire;17097;passion love
while;17010;
verse;16864;
side;16849;
work;16821;
other;16709;
bring;16704;
wait;16685;
best;16677;happiness
move;16670;passion
watch;16492;passion
dream;16413;serenity hope
girls;16376;passion love
maybe;16335;confusion
forever;16265;serenity
someone;16091;confusion
game;15936;pain
true;15882;
song;15840;condidence
told;15805;
nobody;15791;pain
wish;15655;
bout;15556;
remember;15521;passion
pain;15458;sadness pain
start;15439;hope 
together;15395;love passion hope
ready;15354;
till;15310;
their;15269;
waiting;15140;confusion
young;15051;
didn;15018;
round;14988;
stand;14928;confidence
first;14890;
came;14888;
soul;14818;serenity passion
might;14756;confusion
black;14680;sadness 
ride;14644;passion
beat;14590;love passion
because;14476;confusion
kiss;14367;passion love
hope;14362;hope serenity 
getting;14259;
mean;14256;
alright;14119;serenity
used;14020;pain
words;13919;confusion
party;13841;passion
comes;13797;
close;13791;passion
days;13738;serenity
must;13594;passion
fight;13564;sadness pain
touch;13510;passion
trying;13384;pain
many;13369;confidence
lose;13344;sadness pain
cold;13299;pain
roll;13286;passion
friends;13109;serenity happiness
found;13104;
times;13036;
those;13003;
help;12989;sadness pain
rain;12846;
sweet;12842;happiness love hope
somebody;12687;
knew;12686;
dreams;12649;serenity hope
seen;12630;
living;12439;
sing;12400;
door;12300;
goes;12089;
yourself;12088;
hate;12073;
music;12051;
until;12051;
matter;11993;
friend;11928;serenity happiness
else;11921;
open;11838;
shake;11827;
whole;11790;
forget;11734;
makes;11628;
after;11584;
