Lyrics;Tag
Pain Confidence Fear Serenity Serenity Serenity Madness Passion Love love Love Confusion Hope Hope Hope Anger Happiness Happiness Happiness Happiness Happiness Sadness;Happy
Pain Confidence Confidence Confidence Confidence Confidence Fear Serenity Serenity Serenity Madness Passion Love Confusion Hope Hope Hope Anger Happiness Sadness;Confident
Pain Confidence Confidence Fear Serenity Madness Passion Passion Passion Passion Passion Love Love Love Confusion Hope Anger Happiness Sadness;Energized
Pain Pain Pain Confidence Fear Fear Fear Serenity Madness Madness Madness Passion Love Confusion Confusion Confusion Hope  Anger Anger Anger Anger Anger Happiness Sadness;Hurt
Pain Confidence Fear Fear Fear Serenity Madness Passion Love Confusion Hope Anger Happiness Sadness Sadness Sadness Sadness Sadness;Sad
pain pain happiness;Sad
sadness sadness happiness;Sad
happiness confident hope hurt;Happy
hope hope confusion sadness hurt;Sad
serenity hurt fear happiness;happy
confusion anger pain madness;sad
fear confusion pain;hurt
confidence happiness sadness hurt hurt;hurt
confidence happiness sadness sadness;sad
happiness happiness sadness sadness;sad
happiness sadness sadness;sad
sadness sadness hurt;sadness
sadness sadness sadness pain;sadness
hurt hurt confusion;hurt
Confidence;Confident
Passion;Energized
Happiness;Happy
Serenity;Happy
Hope;Happy
Madness;hurt
Confusion;Hurt
Anger;Hurt
Pain;Hurt
Fear;Sad
Sadness;Sad
hurt;hurt
