Word;Occurences;Themes
your;306637;passion
like;216523;happiness
know;210534;confidence
with;181516;
just;178668;
what;178660;confusion
this;176311;
when;155955;
they;122081;
down;116168;sadness pain
yeah;114642;happiness
baby;113638;happiness serenity hope
time;102508;serenity hope
there;102161;
never;100737;
want;95914;
cause;90615;confusion
make;90106;
come;89044;
back;86199;
wanna;84777;
take;82813;
have;81810;
from;80266;
will;78494;hope
girl;72342;passion
gonna;70327;
feel;69965;passion
here;69166;
right;68545;
need;66655;
life;65333;hope
tell;62120;
away;59255;
been;57359;
could;56719;hope
more;55144;
give;54221;
where;54077;confusion
night;53967;passion
heart;53548;happiness serenity hope love
about;51978;confusion
think;50144;
keep;49880;hope
world;49610;
good;48173;happiness
only;47201;confidence
some;46873;
then;46870;
chorus;44269;passion
through;42924;
them;42748;
look;42663;passion
around;42234;
over;42204;
still;41977;hope
little;41825;
said;41790;
again;40507;
gotta;39535;
every;38497;
well;36857;
eyes;36543;passion
mind;36528;happiness sadness
would;36412;
nigga;35600;
nothing;35186;
ever;34914;confidence
better;34899;happiness confidence
always;34700;serenity hope
long;34385;
home;33407;happiness hope love
homeless;33407;fear pain
find;33360;hope happiness sadness
shit;32846;pain anger
tonight;31719;serenity
these;31552;
stop;31109;confidence
everything;30799;confidence
hold;30559;confidence
really;30408;
were;30378;
things;30312;
money;29574;confidence passion happiness
something;29355;confusion
turn;29176;
gone;28688;sadness pain
call;28672;
fuck;28505;pain anger
even;28429;
than;27867;
show;27829;
hear;27723;
leave;27538;pain
thing;27478;
into;27270;
live;27199;hope
head;27019;passion
much;26898;
stay;26342;pain
before;26236;
believe;26232;hope
hard;26156;sadness pain
going;25868;hope
alone;24758;sadness
bitch;24625;sadness pain
light;24445;hope serenity
real;24301;
face;24165;
another;23849;
made;23706;
should;23221;
inside;22884;
people;22192;
fall;21963;pain sadness
left;21739;sadness pain
play;21651;happiness passion
last;21615;sadness
same;21421;
break;21246;pain sadness
high;20935;confidence
please;20517;love hope
without;20365;
everybody;19891;confidence
niggas;19757;
wrong;19668;sadness pain
feeling;19655;passion
dance;19590;happiness passion
name;19563;
place;19414;
rock;19360;passion
change;19327;
hands;19232;passion hope
body;19042;passion
mine;18988;
walk;18946;serenity
free;18469;happiness serenity hope
lost;18216;confusion fear
done;18126;confidence
talk;18111;
enough;17999;sadness pain
crazy;17656;passion madness
hand;17486;passion hope
looking;17336;passion
care;17305;love passion
thought;17273;confusion
myself;17218;confidence
coming;17131;hope
fire;17097;passion love
while;17010;hope
verse;16864;
side;16849;
work;16821;
other;16709;
bring;16704;
wait;16685;
best;16677;happiness
move;16670;passion
watch;16492;passion
dream;16413;serenity hope
girls;16376;passion love
maybe;16335;confusion
forever;16265;serenity love
someone;16091;confusion
game;15936;pain passion
true;15882;confidence
song;15840;confidence happiness sadness
told;15805;confidence
nobody;15791;pain
wish;15655;hope
bout;15556;
energized;1;passion anger
remember;15521;passion happiness sadness
pain;15458;sadness
start;15439;hope
together;15395;love passion hope
ready;15354;confidence
till;15310;
their;15269;
waiting;15140;confusion
young;15051;hope
didn;15018;
round;14988;
stand;14928;confidence
first;14890;
came;14888;
soul;14818;serenity passion hope
might;14756;confusion
black;14680;sadness fear
ride;14644;passion
beat;14590;love passion pain anger
because;14476;confusion
kiss;14367;passion love
hope;14362;hope serenity
getting;14259;
mean;14256;confusion
alright;14119;serenity
used;14020;pain
words;13919;confusion
party;13841;passion happiness
comes;13797;
close;13791;passion
days;13738;serenity
must;13594;passion confidence
fight;13564;sadness pain confidence
touch;13510;passion
trying;13384;pain hope
many;13369;confidence
lose;13344;sadness pain
cold;13299;pain sadness
